title,description,labels,weight,milestone,issue_type,backlog_key,jira_backlog_parent
[LZT-S11] Built-in compliance: distro + encryption,"Align with fleet standards; LUKS verification.

---
BacklogKey: LZT-S11
Jira-Backlog-Key: LZT-S11
Jira-Epic: LZT-E2
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p1,story,area::intune",3,LZT-P1,issue,LZT-S11,LZT-E2
[LZT-S12] policy_gen marker from AWX enforce jobs,"Write policy_gen on success; agent freshness SLA.

---
BacklogKey: LZT-S12
Jira-Backlog-Key: LZT-S12
Jira-Epic: LZT-E2
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p1,story,area::awx,area::intune",3,LZT-P1,issue,LZT-S12,LZT-E2
[LZT-S13] Workload Intermediate CA + templates delivered,"REQ-PKI-01 complete; CRL/AIA documented; issuance path chosen (SCEP/EST/API).

---
BacklogKey: LZT-S13
Jira-Backlog-Key: LZT-S13
Jira-Epic: LZT-E3
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p2,story,area::pki",5,LZT-P2,issue,LZT-S13,LZT-E3
[LZT-S14] AWX role: service cert enroll + renew,"CSR, enroll, install, timer, alerting <30d.

---
BacklogKey: LZT-S14
Jira-Backlog-Key: LZT-S14
Jira-Epic: LZT-E3
Jira: (fill after Jira import)
Estimate Hours: 40
Architecture: docs/ in workstation-environment","phase::p2,story,area::pki,area::awx",8,LZT-P2,issue,LZT-S14,LZT-E3
[LZT-S15] Systemd unit hardening pack for agents,"DynamicUser/User=, ProtectSystem, no root secrets; inventory of units.

---
BacklogKey: LZT-S15
Jira-Backlog-Key: LZT-S15
Jira-Epic: LZT-E3
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p2,story,area::awx",5,LZT-P2,issue,LZT-S15,LZT-E3
[LZT-S16] Migrate pilot agents off static tokens,"Replace API keys with mTLS client certs for 1-2 in-scope services.

---
BacklogKey: LZT-S16
Jira-Backlog-Key: LZT-S16
Jira-Epic: LZT-E3
Jira: (fill after Jira import)
Estimate Hours: 32
Architecture: docs/ in workstation-environment","phase::p2,story,area::pki",8,LZT-P2,issue,LZT-S16,LZT-E3
[LZT-S17] Compliance fields for workload cert health,"Extend status.json; custom compliance rules.

---
BacklogKey: LZT-S17
Jira-Backlog-Key: LZT-S17
Jira-Epic: LZT-E3
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p2,story,area::intune,area::pki",3,LZT-P2,issue,LZT-S17,LZT-E3
[LZT-S18] SPIRE trust domain + server HA design,"Architecture sign-off; datastore; network; trust domain name.

---
BacklogKey: LZT-S18
Jira-Backlog-Key: LZT-S18
Jira-Epic: LZT-E4
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p3,story,area::spire",5,LZT-P3,issue,LZT-S18,LZT-E4
[LZT-S19] Deploy SPIRE server HA,"spire-infra repo; deploy; backup/restore test.

---
BacklogKey: LZT-S19
Jira-Backlog-Key: LZT-S19
Jira-Epic: LZT-E4
Jira: (fill after Jira import)
Estimate Hours: 40
Architecture: docs/ in workstation-environment","phase::p3,story,area::spire",8,LZT-P3,issue,LZT-S19,LZT-E4
[LZT-S20] UpstreamAuthority to MS CA Workload Intermediate,"Chain SVIDs to enterprise root; or interim CA with migration plan.

---
BacklogKey: LZT-S20
Jira-Backlog-Key: LZT-S20
Jira-Epic: LZT-E4
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p3,story,area::spire,area::pki",5,LZT-P3,issue,LZT-S20,LZT-E4
[LZT-S21] SPIRE agent via AWX + registration policies,"GitOps policies; agents on platform nodes first.

---
BacklogKey: LZT-S21
Jira-Backlog-Key: LZT-S21
Jira-Epic: LZT-E4
Jira: (fill after Jira import)
Estimate Hours: 32
Architecture: docs/ in workstation-environment","phase::p3,story,area::spire,area::awx",8,LZT-P3,issue,LZT-S21,LZT-E4
[LZT-S22] Platform mTLS pilot between two services,"Demo + write-up for architects.

---
BacklogKey: LZT-S22
Jira-Backlog-Key: LZT-S22
Jira-Epic: LZT-E4
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p3,story,area::spire",5,LZT-P3,issue,LZT-S22,LZT-E4
[LZT-S23] Document SPIRE non-goals for desktops,"Prevent scope creep; link architecture doc.

---
BacklogKey: LZT-S23
Jira-Backlog-Key: LZT-S23
Jira-Epic: LZT-E4
Jira: (fill after Jira import)
Estimate Hours: 8
Architecture: docs/ in workstation-environment","phase::p3,story,area::spire,area::docs",2,LZT-P3,issue,LZT-S23,LZT-E4
[LZT-S24] Entra CBA + CA trust enablement for pilot group,"REQ-ENTRA-03/04; pilot security group.

---
BacklogKey: LZT-S24
Jira-Backlog-Key: LZT-S24
Jira-Epic: LZT-E5
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p4,story,area::entra,area::pki",5,LZT-P4,issue,LZT-S24,LZT-E5
[LZT-S25] User cert template for TPM PKCS#11 enrollment,"REQ-PKI-02.

---
BacklogKey: LZT-S25
Jira-Backlog-Key: LZT-S25
Jira-Epic: LZT-E5
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p4,story,area::pki,area::tpm",3,LZT-P4,issue,LZT-S25,LZT-E5
[LZT-S26] Spike: TPM keygen CSR broker Edge CBA,"Prove no-USB path on reference hardware; document gaps.

---
BacklogKey: LZT-S26
Jira-Backlog-Key: LZT-S26
Jira-Epic: LZT-E5
Jira: (fill after Jira import)
Estimate Hours: 32
Architecture: docs/ in workstation-environment","phase::p4,story,area::tpm",8,LZT-P4,issue,LZT-S26,LZT-E5
[LZT-S27] AWX role auth_tpm_cba packages + helpers,"tpm2-pkcs11 stack, NSS hooks, enrollment scripts.

---
BacklogKey: LZT-S27
Jira-Backlog-Key: LZT-S27
Jira-Epic: LZT-E5
Jira: (fill after Jira import)
Estimate Hours: 32
Architecture: docs/ in workstation-environment","phase::p4,story,area::tpm,area::awx",8,LZT-P4,issue,LZT-S27,LZT-E5
[LZT-S28] Pilot enrollment for 10-20 users,"Support runbook; break-glass TAP/YubiKey admin path only.

---
BacklogKey: LZT-S28
Jira-Backlog-Key: LZT-S28
Jira-Epic: LZT-E5
Jira: (fill after Jira import)
Estimate Hours: 40
Architecture: docs/ in workstation-environment","phase::p4,story,area::tpm,area::intune",8,LZT-P4,issue,LZT-S28,LZT-E5
[LZT-S29] CA report-only policy including Linux pilot,"REQ-ENTRA-06 report-only; review sign-in logs.

---
BacklogKey: LZT-S29
Jira-Backlog-Key: LZT-S29
Jira-Epic: LZT-E5
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p4,story,area::entra",3,LZT-P4,issue,LZT-S29,LZT-E5
[LZT-S30] Switch CA from report-only to on for pilot apps,"Change window; break-glass validated; rollback plan.

---
BacklogKey: LZT-S30
Jira-Backlog-Key: LZT-S30
Jira-Epic: LZT-E6
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p5,story,area::entra",5,LZT-P5,issue,LZT-S30,LZT-E6
"[LZT-S31] Fail-closed validation (drift, stale agent, revoked cert)","Execute acceptance tests from runbooks.

---
BacklogKey: LZT-S31
Jira-Backlog-Key: LZT-S31
Jira-Epic: LZT-E6
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p5,story,area::intune,area::tpm",5,LZT-P5,issue,LZT-S31,LZT-E6
[LZT-S32] Architect acceptance review,"Sign-off vs Windows parity narrative.

---
BacklogKey: LZT-S32
Jira-Backlog-Key: LZT-S32
Jira-Epic: LZT-E6
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p5,story,area::docs",3,LZT-P5,issue,LZT-S32,LZT-E6
[LZT-S33] Security test report,"Threat model residuals, findings.

---
BacklogKey: LZT-S33
Jira-Backlog-Key: LZT-S33
Jira-Epic: LZT-E6
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p5,story,area::docs",3,LZT-P5,issue,LZT-S33,LZT-E6
[LZT-S34] Ops runbooks signed (on-call),"Incident: noncompliant Linux; CBA failure; SPIRE outage.

---
BacklogKey: LZT-S34
Jira-Backlog-Key: LZT-S34
Jira-Epic: LZT-E7
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p6,story,area::docs",3,LZT-P6,issue,LZT-S34,LZT-E7
[LZT-S35] Wave-1 expansion plan,"Capacity hours estimate beyond pilot.

---
BacklogKey: LZT-S35
Jira-Backlog-Key: LZT-S35
Jira-Epic: LZT-E7
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p6,story,area::docs",3,LZT-P6,issue,LZT-S35,LZT-E7
[LZT-S36] Program retrospective + metrics dashboard,"Compliance %, renew failures, CA blocks.

---
BacklogKey: LZT-S36
Jira-Backlog-Key: LZT-S36
Jira-Epic: LZT-E7
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p6,story,area::docs",3,LZT-P6,issue,LZT-S36,LZT-E7
"[LZT-E1] P0 Foundations — AWX, repos, goldimage glue","**EPIC**

Deploy new AWX OSS, wire goldimage, GitLab/Jira, request catalog.

---
BacklogKey: LZT-E1
Estimate Hours: 160
Jira: (fill)","phase::p0,epic",16,LZT-P0,issue,LZT-E1,
[LZT-E2] P1 Device trust — Intune + trust agent,"**EPIC**

Intune Linux path, trust agent status.json, custom compliance report-only.

---
BacklogKey: LZT-E2
Estimate Hours: 140
Jira: (fill)","phase::p1,epic",14,LZT-P1,issue,LZT-E2,
[LZT-E3] P2 Workload identity — MS CA certs + systemd harden,"**EPIC**

Workload intermediate, AWX cert lifecycle, replace static secrets on agents.

---
BacklogKey: LZT-E3
Estimate Hours: 160
Jira: (fill)","phase::p2,epic",16,LZT-P2,issue,LZT-E3,
[LZT-E4] P3 SPIRE platform,"**EPIC**

SPIRE HA, agents, registration policies, platform mTLS pilot.

---
BacklogKey: LZT-E4
Estimate Hours: 160
Jira: (fill)","phase::p3,epic",16,LZT-P3,issue,LZT-E4,
[LZT-E5] P4 User TPM-CBA no-USB,"**EPIC**

Entra CBA, TPM PKCS#11 enrollment, pilot passwordless.

---
BacklogKey: LZT-E5
Estimate Hours: 180
Jira: (fill)","phase::p4,epic",18,LZT-P4,issue,LZT-E5,
[LZT-E6] P5 Enforce CA + GA readiness,"**EPIC**

Conditional Access enforce, fail-closed compliance, architect sign-off.

---
BacklogKey: LZT-E6
Estimate Hours: 80
Jira: (fill)","phase::p5,epic",8,LZT-P5,issue,LZT-E6,
"[LZT-E7] P6 Scale, ops handoff, docs","**EPIC**

Wave-1 GA, runbooks signed, on-call notes.

---
BacklogKey: LZT-E7
Estimate Hours: 48
Jira: (fill)","phase::p6,epic",4,LZT-P6,issue,LZT-E7,
[LZT-T01] Choose AWX deploy target (K8s/VM) and size,"Choose AWX deploy target (K8s/VM) and size

Parent story: LZT-S01

---
BacklogKey: LZT-T01
Jira-Backlog-Key: LZT-T01
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T01,LZT-S01
[LZT-T02] TLS cert + DNS for AWX UI,"TLS cert + DNS for AWX UI

Parent story: LZT-S01

---
BacklogKey: LZT-T02
Jira-Backlog-Key: LZT-T02
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T02,LZT-S01
[LZT-T03] Backup/restore dry run,"Backup/restore dry run

Parent story: LZT-S01

---
BacklogKey: LZT-T03
Jira-Backlog-Key: LZT-T03
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T03,LZT-S01
[LZT-T04] Document goldimage tag pin in awx-config,"Document goldimage tag pin in awx-config

Parent story: LZT-S03

---
BacklogKey: LZT-T04
Jira-Backlog-Key: LZT-T04
Estimate Hours: 2","task,phase::p0",1,,task,LZT-T04,LZT-S03
[LZT-T05] Open REQ-PKI-01/02 tickets,"Open REQ-PKI-01/02 tickets

Parent story: LZT-S05

---
BacklogKey: LZT-T05
Jira-Backlog-Key: LZT-T05
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T05,LZT-S05
[LZT-T06] Open REQ-ENTRA-03/04/05/06 tickets,"Open REQ-ENTRA-03/04/05/06 tickets

Parent story: LZT-S05

---
BacklogKey: LZT-T06
Jira-Backlog-Key: LZT-T06
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T06,LZT-S05
[LZT-T07] Define status.json JSON schema v1 in repo,"Define status.json JSON schema v1 in repo

Parent story: LZT-S08

---
BacklogKey: LZT-T07
Jira-Backlog-Key: LZT-T07
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T07,LZT-S08
"[LZT-T08] Implement probes: LUKS, TPM present, services","Implement probes: LUKS, TPM present, services

Parent story: LZT-S08

---
BacklogKey: LZT-T08
Jira-Backlog-Key: LZT-T08
Estimate Hours: 12","task,phase::p0",3,,task,LZT-T08,LZT-S08
[LZT-T09] Write discovery script + compliance JSON,"Write discovery script + compliance JSON

Parent story: LZT-S10

---
BacklogKey: LZT-T09
Jira-Backlog-Key: LZT-T09
Estimate Hours: 12","task,phase::p0",3,,task,LZT-T09,LZT-S10
[LZT-T10] PoC CSR to PKI API/SCEP from one host,"PoC CSR to PKI API/SCEP from one host

Parent story: LZT-S14

---
BacklogKey: LZT-T10
Jira-Backlog-Key: LZT-T10
Estimate Hours: 8","task,phase::p0",2,,task,LZT-T10,LZT-S14
[LZT-T11] Inventory existing semi-privileged units on gold image,"Inventory existing semi-privileged units on gold image

Parent story: LZT-S15

---
BacklogKey: LZT-T11
Jira-Backlog-Key: LZT-T11
Estimate Hours: 8","task,phase::p0",2,,task,LZT-T11,LZT-S15
[LZT-T12] SPIRE server compose/helm in spire-infra,"SPIRE server compose/helm in spire-infra

Parent story: LZT-S19

---
BacklogKey: LZT-T12
Jira-Backlog-Key: LZT-T12
Estimate Hours: 16","task,phase::p0",4,,task,LZT-T12,LZT-S19
[LZT-T13] Registration entries for trust-agent unit,"Registration entries for trust-agent unit

Parent story: LZT-S21

---
BacklogKey: LZT-T13
Jira-Backlog-Key: LZT-T13
Estimate Hours: 8","task,phase::p0",2,,task,LZT-T13,LZT-S21
[LZT-T14] Lab notes: tpm2-pkcs11 + Edge cert picker,"Lab notes: tpm2-pkcs11 + Edge cert picker

Parent story: LZT-S26

---
BacklogKey: LZT-T14
Jira-Backlog-Key: LZT-T14
Estimate Hours: 12","task,phase::p0",3,,task,LZT-T14,LZT-S26
[LZT-T15] Pilot user comms + PIN SOP,"Pilot user comms + PIN SOP

Parent story: LZT-S28

---
BacklogKey: LZT-T15
Jira-Backlog-Key: LZT-T15
Estimate Hours: 8","task,phase::p0",2,,task,LZT-T15,LZT-S28
[LZT-T16] Break-glass account test before enforce,"Break-glass account test before enforce

Parent story: LZT-S30

---
BacklogKey: LZT-T16
Jira-Backlog-Key: LZT-T16
Estimate Hours: 4","task,phase::p0",1,,task,LZT-T16,LZT-S30
[LZT-T17] Scripted compliance failure drills,"Scripted compliance failure drills

Parent story: LZT-S31

---
BacklogKey: LZT-T17
Jira-Backlog-Key: LZT-T17
Estimate Hours: 8","task,phase::p0",2,,task,LZT-T17,LZT-S31
